"id","date","state_name","state_code","district_name","district_code","station_name","station_code","average_rainfall","standard_deviation","highest_rainfall","lowest_rainfall"
0,"01-01-1969","Tamil Nadu",33,"Thanjavur",586,"Adiramapattinam",43348,1.4,1.4,1.4,1.4
1,"01-02-1969","Tamil Nadu",33,"Thanjavur",586,"Adiramapattinam",43348,6.2,4.5,6.2,6.2
2,"01-03-1969","Tamil Nadu",33,"Thanjavur",586,"Adiramapattinam",43348,3.2,4.1,3.2,3.2
3,"01-04-1969","Tamil Nadu",33,"Thanjavur",586,"Adiramapattinam",43348,40.6,20.6,40.6,40.6
4,"01-05-1969","Tamil Nadu",33,"Thanjavur",586,"Adiramapattinam",43348,10.2,19.0,10.2,10.2
5,"01-06-1969","Tamil Nadu",33,"Thanjavur",586,"Adiramapattinam",43348,9.2,17.7,9.2,9.2
6,"01-07-1969","Tamil Nadu",33,"Thanjavur",586,"Adiramapattinam",43348,43.6,23.3,43.6,43.6
7,"01-08-1969","Tamil Nadu",33,"Thanjavur",586,"Adiramapattinam",43348,179.0,66.9,179.0,179.0
8,"01-09-1969","Tamil Nadu",33,"Thanjavur",586,"Adiramapattinam",43348,22.8,63.6,22.8,22.8
9,"01-10-1969","Tamil Nadu",33,"Thanjavur",586,"Adiramapattinam",43348,165.1,79.8,165.1,165.1
10,"01-11-1969","Tamil Nadu",33,"Thanjavur",586,"Adiramapattinam",43348,221.4,101.2,221.4,221.4
11,"01-12-1969","Tamil Nadu",33,"Thanjavur",586,"Adiramapattinam",43348,436.0,158.8,436.0,436.0
12,"01-01-1969","Tripura",16,"West Tripura",272,"Agartala",42724,0.3,0.3,0.3,0.3
13,"01-02-1969","Tripura",16,"West Tripura",272,"Agartala",42724,0.1,0.2,0.1,0.1
14,"01-03-1969","Tripura",16,"West Tripura",272,"Agartala",42724,117.7,68.0,117.7,117.7
15,"01-04-1969","Tripura",16,"West Tripura",272,"Agartala",42724,202.6,117.2,202.6,202.6
16,"01-05-1969","Tripura",16,"West Tripura",272,"Agartala",42724,185.0,133.5,185.0,185.0
17,"01-06-1969","Tripura",16,"West Tripura",272,"Agartala",42724,470.5,227.5,470.5,470.5
18,"01-07-1969","Tripura",16,"West Tripura",272,"Agartala",42724,214.9,225.7,214.9,214.9
19,"01-08-1969","Tripura",16,"West Tripura",272,"Agartala",42724,404.0,254.9,404.0,404.0
20,"01-09-1969","Tripura",16,"West Tripura",272,"Agartala",42724,87.6,242.1,87.6,87.6
21,"01-10-1969","Tripura",16,"West Tripura",272,"Agartala",42724,69.3,230.7,69.3,69.3
22,"01-11-1969","Tripura",16,"West Tripura",272,"Agartala",42724,34.2,220.2,34.2,34.2
